time,open,high,low,close
1971-10-31T22:00:00Z,114.63,114.68,113.93,114.01
1971-12-01T00:00:00Z,113.86,113.86,111.16,111.21
1972-01-02T22:00:00Z,111.19,111.27,109.6,109.6
1972-02-01T00:00:00Z,109.43,109.43,108.56,108.68
1972-03-01T00:00:00Z,108.65,109.19,107.76,108.4
1972-04-02T23:00:00+01:00,108.4,108.85,108.27,108.62
1972-04-30T22:00:00+01:00,108.58,108.58,108.17,108.17
1972-06-01T00:00:00+01:00,108.12,108.77,107.97,108.51
1972-07-02T22:00:00+01:00,108.61,108.79,108.46,108.76
1972-08-01T00:00:00+01:00,108.77,109.03,108.76,108.96
1972-09-01T00:00:00+01:00,108.98,109.39,108.91,109.39
1972-10-01T22:00:00+01:00,109.51,109.98,109.22,109.9
1972-11-01T00:00:00Z,109.75,109.93,109.73,109.85
1972-12-01T00:00:00Z,109.87,110.2,109.87,110.14
1972-12-31T22:00:00Z,110.2,110.31,109,109.01
1973-02-01T00:00:00Z,108.79,109.05,100.13,100.13
1973-03-01T00:00:00Z,99.69,101.17,98.72,101.17
1973-04-01T23:00:00+01:00,101.46,101.69,100.97,101.43
1973-05-01T00:00:00+01:00,101.4,101.49,98,98
1973-06-01T00:00:00+01:00,97.56,97.63,93.88,93.88
1973-07-01T22:00:00+01:00,93.42,94.22,90.54,92.91
1973-08-01T00:00:00+01:00,92.87,96.42,92.87,95.77
1973-09-02T22:00:00+01:00,95.78,95.78,94.3,94.79
1973-09-30T22:00:00+01:00,94.74,95.19,93.78,95.06
1973-11-01T00:00:00Z,95.3,100.9,95.3,100.35
1973-12-02T22:00:00Z,100.59,102.4,100.59,102.39
1974-01-01T00:00:00Z,103.66,109.5,103.66,105.9
1974-01-31T23:00:00Z,106.21,106.21,102.19,103.03
1974-02-28T23:00:00Z,103.69,103.74,99.06,99.51
1974-03-31T22:00:00+01:00,99.92,100.9,98.22,98.49
1974-05-01T00:00:00+01:00,98.48,100.1,96.86,99.77
1974-06-02T22:00:00+01:00,99.56,101.16,99.08,100.16
1974-06-30T22:00:00+01:00,100.43,100.68,98.96,100.54
1974-08-01T00:00:00+01:00,100.62,103.18,100.62,103.18
1974-09-01T22:00:00+01:00,103.16,103.44,102.46,102.48
1974-10-01T00:00:00+01:00,102.2,102.35,101.16,101.26
1974-11-01T00:00:00Z,101.08,101.39,99.14,99.57
1974-12-01T22:00:00Z,99.99,99.99,97.29,97.29
1975-01-01T00:00:00Z,97.71,97.71,94.43,95.61
1975-02-02T22:00:00Z,95.88,96.41,92.93,93
1975-03-02T21:00:00Z,92.82,94.87,92.82,94.82
1975-04-01T00:00:00+01:00,94.45,95.9,94.45,95.39
1975-05-01T00:00:00+01:00,95.36,95.44,94.24,94.63
1975-06-01T22:00:00+01:00,94.53,95.86,94.36,95.86
1975-07-01T00:00:00+01:00,96.07,101.25,96.07,101.25
1975-08-01T00:00:00+01:00,101.3,101.98,100.92,101.79
1975-08-31T22:00:00+01:00,101.89,104.81,101.69,104.24
1975-10-01T00:00:00+01:00,103.46,103.95,101.61,101.61
1975-11-02T22:00:00Z,101.59,103.53,101.59,103.53
1975-11-30T22:00:00Z,103.37,103.92,103.17,103.51
1976-01-01T00:00:00Z,103.49,103.88,102.91,103.88
1976-02-01T22:00:00Z,103.52,103.81,102.95,103.66
1976-02-29T22:00:00Z,104.01,106.02,104.01,105.34
1976-04-01T01:00:00+01:00,105.37,106.57,105.37,106.23
1976-05-02T22:00:00+01:00,106.29,107.29,105.61,107.29
1976-06-01T00:00:00+01:00,107.39,107.6,106.64,106.64
1976-07-01T00:00:00+01:00,106.59,107.21,106.53,106.56
1976-08-01T22:00:00+01:00,106.39,106.88,106,106.13
1976-09-01T00:00:00+01:00,105.94,106.01,105.37,105.5
1976-10-01T00:00:00+01:00,105.82,106.31,105.25,105.94
1976-10-31T22:00:00Z,106.1,106.19,105.56,106.19
1976-12-01T00:00:00Z,106.23,106.23,104.52,104.56
1977-01-02T22:00:00Z,104.17,106.01,104.09,105.54
1977-02-01T00:00:00Z,105.7,105.79,105.08,105.26
1977-03-01T00:00:00Z,105.28,105.5,104.88,105.03
1977-04-01T01:00:00+01:00,104.93,105.04,104.39,104.39
1977-05-01T22:00:00+01:00,104.41,104.76,104.22,104.52
1977-06-01T00:00:00+01:00,104.51,104.55,103.82,103.84
1977-07-01T00:00:00+01:00,103.8,103.8,101.78,102.86
1977-07-31T22:00:00+01:00,102.97,103.83,102.66,103.64
1977-09-01T00:00:00+01:00,103.69,103.99,103.21,103.21
1977-10-02T22:00:00+01:00,102.69,102.91,100.96,100.96
1977-11-01T00:00:00Z,100.42,101.46,100,100.37
1977-12-01T00:00:00Z,100.15,100.15,96.44,96.44
1978-01-01T22:00:00Z,95.21,97.87,94.99,96.64
1978-02-01T00:00:00Z,96.81,97.1,94.57,94.6
1978-03-01T00:00:00Z,94.56,96.1,93.84,93.84
1978-04-02T23:00:00+01:00,93.4,96.19,93.4,95.62
1978-04-30T22:00:00+01:00,95.58,97.11,95.39,95.46
1978-06-01T00:00:00+01:00,95.45,95.58,93.53,93.53
1978-07-02T22:00:00+01:00,93.17,93.23,90.94,90.94
1978-08-01T00:00:00+01:00,90.9,91.13,88,90
1978-09-01T00:00:00+01:00,89.73,90.54,88.67,88.83
1978-10-01T22:00:00+01:00,88.88,88.88,82.07,83.07
1978-11-01T00:00:00Z,86.68,90.22,86.68,90.22
1978-12-01T00:00:00Z,90.63,90.63,86.5,86.5
1978-12-31T22:00:00Z,86.52,88.86,86.52,88.86
1979-02-01T00:00:00Z,89.24,89.25,87.35,88.18
1979-03-01T00:00:00Z,88.28,88.59,88.09,88.53
1979-04-01T23:00:00+01:00,88.98,89.98,88.98,89.98
1979-05-01T00:00:00+01:00,90.11,91.02,89.55,90.53
1979-06-01T00:00:00+01:00,90.82,90.82,87.71,87.85
1979-07-01T22:00:00+01:00,87.89,87.89,86.02,87.31
1979-08-01T00:00:00+01:00,86.97,87.46,86.91,87.19
1979-09-02T22:00:00+01:00,87.26,87.47,85.45,85.45
1979-09-30T22:00:00+01:00,85.43,89.12,85.43,88.95
1979-11-01T00:00:00Z,88.79,89.02,86.79,86.79
1979-12-02T22:00:00Z,85.98,87.05,85.51000214,85.81999969
1980-01-01T00:00:00Z,85.31999969,86.13999939,84.79000092,86.13999939
1980-02-01T00:00:00Z,86.12999725,87.65000153,85.62000275,87.65000153
1980-03-02T22:00:00Z,87.84999847,93.58000183,87.84999847,93.58000183
1980-04-01T01:00:00+01:00,94.22000122,94.87999725,88.01000214,88.11000061
1980-05-01T00:00:00+01:00,88.22000122,88.90000153,85.15000153,85.93000031
1980-06-01T22:00:00+01:00,86.08999634,86.08999634,84.75,85.19999695
